Title,Rating,Votes,Duration,Genre
Kraven the Hunter,5.5,51,127.0,Action
Twisters,6.5,164,122.0,Action
Gladiator II,6.5,224,148.0,Action
Sonic the Hedgehog 3,6.9,56,110.0,Action
Venom: The Last Dance,6.0,113,110.0,Action
Deadpool & Wolverine,7.6,486,128.0,Action
Dune: Part Two,8.5,620,166.0,Action
Pushpa: The Rule - Part 2,6.1,55,201.0,Action
Solo Leveling: ReAwakening,8.9,10,121.0,Action
The Ministry of Ungentlemanly Warfare,6.8,133,122.0,Action
Furiosa: A Mad Max Saga,7.5,283,148.0,Action
The Beekeeper,6.3,155,105.0,Action
Fight or Flight,6.4,5,97.0,Action
Civil War,7.0,234,109.0,Action
Borderlands,4.7,47,101.0,Action
Hellboy: The Crooked Man,4.5,13,99.0,Action
The Fall Guy,6.8,219,126.0,Action
Carry-On,6.5,162,119.0,Action
The Lord of the Rings: The War of the Rohirrim,6.3,29,134.0,Action
Elevation,5.6,21,91.0,Action
The Count of Monte-Cristo,7.6,33,178.0,Action
Transformers One,7.6,49,104.0,Action
William Tell,5.7,2,133.0,Action
The Crow,4.7,34,111.0,Action
Madame Web,4.0,100,116.0,Action
Road House,6.2,167,121.0,Action
Rebel Ridge,6.8,87,131.0,Action
Damsel,6.1,109,110.0,Action
Red One,6.3,139,123.0,Action
Argylle,5.6,92,139.0,Action
Bad Boys: Ride or Die,6.5,99,115.0,Action
Marco,6.9,21,145.0,Action
Kingdom of the Planet of the Apes,6.9,151,145.0,Action
Freaky Tales,7.0,616,106.0,Action
Godzilla x Kong: The New Empire,6.0,121,115.0,Action
Love Lies Bleeding,6.6,56,104.0,Action
The Killer's Game,5.8,17,104.0,Action
Homestead,5.3,3,112.0,Action
Land of Bad,6.6,51,113.0,Action
Old Guy,5.2,2,94.0,Action
Uglies,4.7,32,100.0,Action
Aftermath,5.1,3,97.0,Action
Thelma,7.0,22,98.0,Action
Monkey Man,6.8,91,121.0,Action
Dirty Angels,4.3,3,104.0,Action
Baby Invasion,4.6,375,80.0,Action
Blitz,6.2,16,120.0,Action
Attack on Titan the Movie: The Last Attack,9.2,15,145.0,Action
The Union,5.4,52,107.0,Action
Kung Fu Panda 4,6.3,67,94.0,Action
Arcadian,5.5,23,92.0,Action
Drive-Away Dolls,5.4,23,84.0,Action
The Instigators,6.2,37,101.0,Action
The Killer,5.7,13,126.0,Action
Brothers,5.4,13,89.0,Action
Lift,5.5,49,107.0,Action
Werewolves,4.4,6,93.0,Action
Azrael,5.4,10,86.0,Action
Maharaja,8.4,66,141.0,Action
Long Gone Heroes,5.2,1,101.0,Action
Descendants: The Rise of Red,4.7,7,91.0,Action
Beverly Hills Cop: Axel F,6.4,81,118.0,Action
Twilight of the Warriors: Walled In,7.0,9,126.0,Action
Absolution,5.2,7,112.0,Action
Apocalypse Z: The Beginning of the End,6.1,20,117.0,Action
Survive,4.6,2,90.0,Action
Atlas,5.6,56,118.0,Action
Under Paris,5.2,36,104.0,Action
Canary Black,5.3,11,101.0,Action
Armor,3.5,3,89.0,Action
Boneyard,4.1,4,96.0,Action
Gunner,3.2,2,106.0,Action
The Silent Hour,6.1,7,99.0,Action
Weekend in Taipei,5.7,4,100.0,Action
Rebel Moon - Part Two: The Scargiver,5.3,59,122.0,Action
Watchmen: Chapter I,7.0,6,83.0,Action
Chief of Station,4.7,4,97.0,Action
Jackpot!,5.8,30,106.0,Action
Trigger Warning,4.6,19,106.0,Action
Cash Out,4.8,2,92.0,Action
The Shadow Strays,6.5,9,144.0,Action
Hitpig,5.1,902,86.0,Action
Dark Match,5.5,914,94.0,Action
Classified,3.6,2,105.0,Action
Aavesham,7.8,28,155.0,Action
Red Right Hand,5.5,5,111.0,Action
Kalki 2898 AD,7.0,66,180.0,Action
Megamind vs. The Doom Syndicate,2.5,5,83.0,Action
Take Cover,5.1,2,90.0,Action
Raqa,5.7,167,107.0,Action
No Way Up,4.6,10,90.0,Action
Mafia Wars,3.4,232,94.0,Action
Levels,5.0,1,93.0,Action
Hounds of War,4.5,1,95.0,Action
Baby John,5.4,17,159.0,Action
Hagen,6.1,1,139.0,Action
Damaged,4.7,7,97.0,Action
Uprising,6.6,5,126.0,Action
Watchmen: Chapter II,7.0,2,90.0,Action
Role Play,5.5,19,100.0,Action
Overlord: The Sacred Kingdom,6.9,863,135.0,Action
Night Call,6.8,1,97.0,Action
Black Heat,8.6,117,93.0,Action
The Thundermans Return,5.0,1,70.0,Action
Amaran,8.2,18,167.0,Action
Hanu Man,7.7,29,158.0,Action
Prey,3.7,3,86.0,Action
River of Blood,5.3,1,86.0,Action
Trouble,6.2,6,98.0,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8,93.0,Action
Anaconda,4.8,617,84.0,Action
My Spy: The Eternal City,5.7,11,112.0,Action
Rats!,7.4,111,85.0,Action
Vanvaas,6.6,1,160.0,Action
Dominique,5.3,2,100.0,Action
"I, the Executioner",6.3,1,118.0,Action
The Wages of Fear,4.6,4,104.0,Action
Devara Part 1,6.0,20,176.0,Action
The Fix,4.6,1,98.0,Action
Code 8: Part II,5.7,16,100.0,Action
