Title,Rating,Votes,Duration,Genre
1. Mufasa: The Lion King,6.6, (57K),1h 58m,Adventure
2. Moana 2,6.6, (97K),1h 40m,Adventure
3. Flow,7.9, (68K),1h 25m,Adventure
4. Twisters,6.5, (164K),2h 2m,Adventure
5. Gladiator II,6.5, (224K),2h 28m,Adventure
6. Sonic the Hedgehog 3,6.9, (56K),1h 50m,Adventure
7. Venom: The Last Dance,6.0, (113K),1h 50m,Adventure
8. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (3.6K),1h 31m,Adventure
9. Deadpool & Wolverine,7.6, (486K),2h 8m,Adventure
10. Dune: Part Two,8.5, (620K),2h 46m,Adventure
11. Solo Leveling: ReAwakening,8.9, (10K),2h 1m,Adventure
12. Furiosa: A Mad Max Saga,7.5, (283K),2h 28m,Adventure
13. Paddington in Peru,6.7, (19K),1h 46m,Adventure
14. Borderlands,4.7, (47K),1h 41m,Adventure
15. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),2h 14m,Adventure
16. The Count of Monte-Cristo,7.6, (33K),2h 58m,Adventure
17. Despicable Me 4,6.2, (64K),1h 34m,Adventure
18. Transformers One,7.6, (49K),1h 44m,Adventure
19. Inside Out 2,7.5, (214K),1h 36m,Adventure
20. The Return,6.2, (7.9K),1h 56m,Adventure
21. Madame Web,4.0, (100K),1h 56m,Adventure
22. Damsel,6.1, (109K),1h 50m,Adventure
23. Red One,6.3, (139K),2h 3m,Adventure
24. Bad Boys: Ride or Die,6.5, (99K),1h 55m,Adventure
25. Kingdom of the Planet of the Apes,6.9, (151K),2h 25m,Adventure
26. Freaky Tales,7.0, (616),1h 46m,Adventure
27. Godzilla x Kong: The New Empire,6.0, (121K),1h 55m,Adventure
28. Love Lies Bleeding,6.6, (56K),1h 44m,Adventure
29. Ghostbusters: Frozen Empire,6.1, (93K),1h 55m,Adventure
30. Uglies,4.7, (32K),1h 40m,Adventure
31. Attack on Titan the Movie: The Last Attack,9.2, (15K),2h 25m,Adventure
32. Spellbound,5.6, (7.1K),1h 49m,Adventure
33. Spaceman,5.7, (43K),1h 47m,Adventure
34. Kung Fu Panda 4,6.3, (67K),1h 34m,Adventure
35. Wallace & Gromit: Vengeance Most Fowl,7.5, (34K),1h 22m,Adventure
36. Harold and the Purple Crayon,5.7, (8.1K),1h 30m,Adventure
37. The Garfield Movie,5.7, (24K),1h 41m,Adventure
38. Descendants: The Rise of Red,4.7, (7K),1h 31m,Adventure
39. Survive,4.6, (2.3K),1h 30m,Adventure
40. Chuck Billy and the Marvelous Guava Tree,7.5, (875),1h 30m,Adventure
41. Atlas,5.6, (56K),1h 58m,Adventure
42. Arthur the King,7.0, (34K),1h 47m,Adventure
43. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Adventure
44. My Penguin Friend,6.7, (4.9K),1h 37m,Adventure
45. Monster Summer,5.7, (3.6K),1h 37m,Adventure
46. Winner,6.5, (2.4K),1h 43m,Adventure
47. Night of the Zoopocalypse,6.1, (456),1h 31m,Adventure
48. Hitpig,5.1, (902),1h 26m,Adventure
49. Kalki 2898 AD,7.0, (66K),3h,Adventure
50. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Adventure
51. The Unholy Trinity,7.9, (49),1h 33m,Adventure
52. Raqa,5.7, (167),1h 47m,Adventure
53. No Way Up,4.6, (10K),1h 30m,Adventure
54. Orion and the Dark,6.3, (17K),1h 33m,Adventure
55. Family Pack,5.5, (8.9K),1h 34m,Adventure
56. Lost on a Mountain in Maine,6.1, (1.2K),1h 38m,Adventure
57. Overlord: The Sacred Kingdom,6.9, (863),2h 15m,Adventure
58. Thelma the Unicorn,5.7, (2.9K),1h 33m,Adventure
59. Bookworm,6.0, (1.8K),1h 43m,Adventure
60. Buffalo Kids,6.6, (665),1h 33m,Adventure
61. Hanu Man,7.7, (29K),2h 38m,Adventure
62. River of Blood,5.3, (1.7K),1h 26m,Adventure
63. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,Adventure
64. Anaconda,4.8, (617),1h 24m,Adventure
65. Sasquatch Sunset,5.4, (5.4K),1h 28m,Adventure
66. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,Adventure
"67. I, the Executioner",6.3, (1.7K),1h 58m,Adventure
68. Something in the Water,4.1, (4.6K),1h 26m,Adventure
69. The Wages of Fear,4.6, (4.1K),1h 44m,Adventure
70. Noah's Ark,4.3, (639),1h 36m,Adventure
71. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,Adventure
72. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Adventure
73. A Sloth Story,5.6, (200),1h 30m,Adventure
74. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m,Adventure
75. Escape,6.4, (2K),1h 34m,Adventure
76. Badland Hunters,5.9, (12K),1h 47m,Adventure
77. One Million Babes BC,2.2, (78),1h 15m,Adventure
78. Bade Miyan Chote Miyan,3.7, (39K),2h 43m,Adventure
79. My Hero Academia: You're Next,7.0, (2K),1h 50m,Adventure
80. That Christmas,6.8, (17K),1h 31m,Adventure
81. The Empire,5.2, (1.2K),1h 50m,Adventure
82. Ultraman: Rising,6.9, (6.3K),1h 57m,Adventure
83. The Courier,6.0, (4.4K),1h 41m,Adventure
84. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Adventure
85. The Twisters,2.6, (324),1h 26m,Adventure
86. The Firing Squad,5.4, (5K),1h 33m,Adventure
87. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Adventure
88. Cult Killer,4.8, (2.7K),1h 45m,Adventure
89. A Legend,4.7, (880),2h 9m,Adventure
90. The Goat Life,7.1, (47K),2h 53m,Adventure
91. Now or Never!,2.2, (17K),N/A,Adventure
92. Operation Blood Hunt,3.4, (477),1h 33m,Adventure
93. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Adventure
94. Lumina,2.1, (658),1h 53m,Adventure
95. Manjummel Boys,8.2, (27K),2h 15m,Adventure
96. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Adventure
97. The Last Ronin,4.8, (564),1h 55m,Adventure
98. Autumn and the Black Jaguar,5.6, (988),1h 40m,Adventure
99. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.3K),1h 34m,Adventure
100. Bambi: A Tale of Life in the Woods,5.7, (160),1h 18m,Adventure
101. Sixty Minutes,5.7, (5.1K),1h 28m,Adventure
102. Guest from the Future,6.0, (1.2K),2h 21m,Adventure
103. Unspeakable: Beyond the Wall of Sleep,6.2, (47),1h 30m,Adventure
104. Dragonkeeper,5.7, (1.6K),1h 38m,Adventure
105. The Lost Tiger,7.8, (44),1h 30m,Adventure
106. Golden Kamuy,6.3, (2.5K),2h 7m,Adventure
107. Saint-Exupéry,5.5, (251),1h 38m,Adventure
108. The Last Redemption,6.7, (3.4K),2h 2m,Adventure
109. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.4K),1h 44m,Adventure
110. No Chains No Masters,6.4, (495),1h 38m,Adventure
111. The Magician's Raincoat,5.5, (97),N/A,Adventure
112. Crayon Shin-chan: Ora's Dinosaur Diary,6.4, (333),1h 46m,Adventure
113. Eat the Night,6.2, (438),1h 46m,Adventure
114. Man and Witch: The Dance of a Thousand Steps,5.5, (327),1h 34m,Adventure
115. Dongeng Sang Kancil,6.7, (142),1h 39m,Adventure
116. Roadkill,3.7, (677),1h 30m,Adventure
117. Thangalaan,6.6, (6.6K),2h 36m,Adventure
118. WWII: Operation Phoenix,6.3, (69),1h 46m,Adventure
119. War of the Worlds: Extinction,3.0, (198),1h 24m,Adventure
120. Robin and the Hoods,4.4, (509),1h 40m,Adventure
121. Spiders on a Plane,5.2, (370),1h 18m,Adventure
122. Escape from the 21st Century,6.5, (850),1h 38m,Adventure
123. A.R.M,7.1, (8.6K),2h 30m,Adventure
124. Devil's Knight,5.3, (793),1h 30m,Adventure
125. Kanguva,4.5, (15K),2h 32m,Adventure
126. The Slave and the Sorcerer,6.6, (39),1h 26m,Adventure
127. 200% Wolf,5.9, (1.3K),1h 38m,Adventure
128. Gracie and Pedro: Pets to the Rescue,5.1, (264),1h 27m,Adventure
129. All for One,1.2, (622),1h 37m,Adventure
130. Rebellious,6.0, (181),1h 34m,Adventure
131. My Oni Girl,6.0, (1.7K),1h 52m,Adventure
132. Storm Crashers,6.3, (556),1h 28m,Adventure
133. Planetquake,3.0, (291),1h 25m,Adventure
134. Rally Caps,5.5, (137),1h 40m,Adventure
135. Never Look Away,7.2, (255),1h 25m,Adventure
136. Going Viral,6.8, (52),1h 30m,Adventure
137. The Keepers of the 5 Kingdoms,4.0, (219),1h 49m,Adventure
138. My Freaky Family,6.3, (396),1h 26m,Adventure
139. Bionic,4.3, (1.7K),1h 50m,Adventure
140. Barroz: Guardian of Treasures,3.5, (986),2h 35m,Adventure
141. School of Magical Animals 3,5.9, (307),1h 45m,Adventure
142. Meanwhile on Earth,6.0, (895),1h 29m,Adventure
143. Return to Wickensburg,5.0, (27),1h 28m,Adventure
144. Treasure Trackers,5.8, (159),1h 32m,Adventure
145. Earthquake Underground,3.3, (192),1h 23m,Adventure
146. Diplodocus,6.4, (166),1h 30m,Adventure
147. Gaami,6.4, (2K),2h 27m,Adventure
148. The Last of Us: Immunity,5.8, (14),1h 4m,Adventure
149. Cells at Work!,6.8, (186),1h 49m,Adventure
150. Little Emma,5.7, (106),1h 46m,Adventure
151. A Trip Elsewhere,5.6, (101),1h 33m,Adventure
152. This Too Shall Pass,N/A,N/A,1h 45m,Adventure
153. The Mountain,6.6, (155),1h 29m,Adventure
154. Dalia y el Libro Rojo,6.4, (76),1h 47m,Adventure
155. The Kingdom,7.9, (88),2h 13m,Adventure
156. The Forest,6.5, (48),1h 17m,Adventure
157. Gladiators,6.3, (39),1h 35m,Adventure
158. Pimpinero: Blood and Oil,5.6, (544),2h 1m,Adventure
159. Marianengraben,7.4, (80),1h 27m,Adventure
160. I Left My Heart in Colombia,9.1, (416),N/A,Adventure
161. Tanning Zone,N/A,N/A,N/A,Adventure
162. Ayalaan,6.0, (4K),2h 35m,Adventure
163. No Time to Spy: A Loud House Movie,6.4, (443),1h 21m,Adventure
164. Big City Greens the Movie: Spacecation,6.2, (538),1h 23m,Adventure
165. Panda Bear in Africa,5.5, (316),1h 24m,Adventure
166. The Casagrandes Movie,5.6, (661),1h 29m,Adventure
167. The Epidemic,5.8, (69),1h 35m,Adventure
168. Bureau 749,4.1, (514),2h 3m,Adventure
