Title,Rating,Votes,Duration,Genre
1. Mufasa: The Lion King,6.6, (57K),1h 58m,Animation
2. Moana 2,6.6, (97K),1h 40m,Animation
3. Flow,7.9, (68K),1h 25m,Animation
4. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (3.6K),1h 31m,Animation
5. The Wild Robot,8.2, (158K),1h 42m,Animation
6. Solo Leveling: ReAwakening,8.9, (10K),2h 1m,Animation
7. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),2h 14m,Animation
8. Despicable Me 4,6.2, (64K),1h 34m,Animation
9. Transformers One,7.6, (49K),1h 44m,Animation
10. Inside Out 2,7.5, (214K),1h 36m,Animation
11. IF,6.4, (57K),1h 44m,Animation
12. Memoir of a Snail,7.8, (16K),1h 35m,Animation
13. Attack on Titan the Movie: The Last Attack,9.2, (15K),2h 25m,Animation
14. Spellbound,5.6, (7.1K),1h 49m,Animation
15. Kung Fu Panda 4,6.3, (67K),1h 34m,Animation
16. Wallace & Gromit: Vengeance Most Fowl,7.5, (34K),1h 22m,Animation
17. Spermageddon,5.8, (741),1h 20m,Animation
18. Harold and the Purple Crayon,5.7, (8.1K),1h 30m,Animation
19. The Garfield Movie,5.7, (24K),1h 41m,Animation
20. Watchmen: Chapter I,7.0, (6.4K),1h 23m,Animation
21. Look Back,7.8, (14K),58m,Animation
22. Night of the Zoopocalypse,6.1, (456),1h 31m,Animation
23. Hitpig,5.1, (902),1h 26m,Animation
24. Piece by Piece,6.9, (5.3K),1h 33m,Animation
25. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Animation
26. Orion and the Dark,6.3, (17K),1h 33m,Animation
27. Watchmen: Chapter II,7.0, (2.9K),1h 30m,Animation
28. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Animation
29. Overlord: The Sacred Kingdom,6.9, (863),2h 15m,Animation
30. The Most Precious of Cargoes,7.1, (830),1h 21m,Animation
31. Thelma the Unicorn,5.7, (2.9K),1h 33m,Animation
32. Grand Theft Hamlet,6.9, (1.8K),1h 29m,Animation
33. Buffalo Kids,6.6, (665),1h 33m,Animation
34. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,Animation
35. Noah's Ark,4.3, (640),1h 36m,Animation
36. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,Animation
37. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Animation
38. A Sloth Story,5.6, (201),1h 30m,Animation
39. The Glassworker,7.4, (1.7K),1h 38m,Animation
40. The Colors Within,7.1, (912),1h 41m,Animation
41. My Hero Academia: You're Next,7.0, (2K),1h 50m,Animation
42. That Christmas,6.8, (17K),1h 31m,Animation
43. Ultraman: Rising,6.9, (6.3K),1h 57m,Animation
44. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Animation
45. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Animation
46. Dan Da Dan: First Encounter,8.2, (2.7K),1h 23m,Animation
47. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7, (1.1K),1h 30m,Animation
48. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Animation
49. Limonov: The Ballad of Eddie,6.0, (766),2h 18m,Animation
50. 10 Lives,5.9, (1.9K),1h 28m,Animation
51. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.3K),1h 34m,Animation
52. Dragonkeeper,5.7, (1.6K),1h 38m,Animation
53. The Lost Tiger,7.8, (44),1h 30m,Animation
54. Frida,7.5, (1.5K),1h 27m,Animation
55. Mars,8.9, (20),1h 24m,Animation
56. Johnny Puff: Secret Mission,4.8, (442),1h 27m,Animation
57. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.4K),1h 44m,Animation
58. Crayon Shin-chan: Ora's Dinosaur Diary,6.4, (333),1h 46m,Animation
59. Haikyu!! The Dumpster Battle,7.7, (6.1K),1h 25m,Animation
60. The Night Before Christmas in Wonderland,6.3, (511),1h 20m,Animation
61. From Ground Zero,7.9, (518),1h 52m,Animation
62. Sanatorium Under the Sign of the Hourglass,5.4, (106),1h 15m,Animation
63. Dongeng Sang Kancil,6.7, (142),1h 39m,Animation
64. Exorcism Chronicles: The Beginning,7.2, (94),1h 25m,Animation
65. Ryan's World the Movie: Titan Universe Adventure,1.8, (678),1h 20m,Animation
66. 200% Wolf,5.9, (1.3K),1h 38m,Animation
67. Lesbian Space Princess,8.0, (108),1h 27m,Animation
68. Mononoke the Movie: The Phantom in the Rain,6.8, (1.2K),1h 29m,Animation
69. Given 3: To the Sea,8.7, (31),1h 20m,Animation
70. Savages,6.8, (315),1h 27m,Animation
71. Gracie and Pedro: Pets to the Rescue,5.1, (264),1h 27m,Animation
72. Blue Lock: Episode Nagi,6.6, (2.4K),1h 31m,Animation
73. Rebellious,6.0, (181),1h 34m,Animation
74. My Oni Girl,6.0, (1.7K),1h 52m,Animation
75. Storm Crashers,6.3, (556),1h 28m,Animation
76. Ghost Cat Anzu,6.5, (748),1h 37m,Animation
77. Kid Santa,N/A,N/A,N/A,Animation
78. My Freaky Family,6.3, (396),1h 26m,Animation
79. Super-Charlie,5.8, (112),1h 20m,Animation
80. Diplodocus,6.4, (166),1h 30m,Animation
81. Little Emma,5.7, (106),1h 46m,Animation
82. Dalia y el Libro Rojo,6.4, (76),1h 47m,Animation
83. I Am What I Am 2,7.5, (197),2h 14m,Animation
84. Baki Hanma VS Kengan Ashura,5.7, (1.9K),1h 2m,Animation
85. White Snake: Afloat,6.9, (457),2h 13m,Animation
86. No Time to Spy: A Loud House Movie,6.4, (443),1h 21m,Animation
87. Big City Greens the Movie: Spacecation,6.2, (538),1h 23m,Animation
88. Panda Bear in Africa,5.5, (316),1h 24m,Animation
89. Living Large,7.7, (106),1h 20m,Animation
90. The Casagrandes Movie,5.6, (661),1h 29m,Animation
91. The Quintessential Quintuplets Specials 2,7.0, (120),46m,Animation
92. Boys Go to Jupiter,6.8, (94),1h 30m,Animation
93. Taisu Xilie,N/A,N/A,1h 40m,Animation
94. Elli and the Ghostly Ghost Train,5.0, (95),1h 26m,Animation
95. Boonie Bears: Time Twist,6.0, (165),1h 45m,Animation
96. Mobile Suit Gundam SEED Freedom,6.6, (943),2h 4m,Animation
97. Shrek 5: The Contract - A Fan Made Film,7.0, (18),1h 24m,Animation
98. Movie Given Hiiragi Mix.,7.4, (154),1h 10m,Animation
99. Heartsping : Teenieping of Love,7.0, (23),TV-Y,Animation
100. Rock Bottom,7.0, (41),1h 26m,Animation
101. Sabbath Queen,8.0, (62),1h 45m,Animation
102. Monkey King: The Beginning,N/A,N/A,N/A,Animation
103. Hola Frida,7.3, (25),1h 22m,Animation
104. Niko: Beyond the Northern Lights,6.2, (324),1h 26m,Animation
105. Out of the Nest,7.3, (107),1h 24m,Animation
106. Bocchi the Rock! Re:,7.6, (154),1h 30m,Animation
107. Detective Conan: The Million-Dollar Pentagram,6.7, (1.4K),1h 51m,Animation
"108. Die Heinzels: Neue Mützen, Neue Mission",6.4, (81),1h 16m,Animation
109. Si Juki the Movie: Harta Pulau Monyet,6.0, (115),1h 47m,Animation
"110. Maya, donne-moi un titre",6.4, (50),1h 1m,Animation
111. Mustafa,6.9, (72),1h 15m,Animation
112. Zak & Wowo: The Legend of Lendarys,5.7, (95),1h 25m,Animation
113. Yumi's Cells: The Movie,6.2, (49),1h 33m,Animation
114. Luntik. Vozvrashchenie domoy,6.4, (74),TV-Y,Animation
