Title,Rating,Votes,Duration,Genre
1. I'm Still Here,8.3, (101K),2h 17m,History
2. Queer,6.4, (20K),2h 17m,History
3. The Apprentice,7.1, (53K),2h 2m,History
4. September 5,7.1, (22K),1h 35m,History
5. Saturday Night,6.9, (30K),1h 49m,History
6. The Count of Monte-Cristo,7.6, (33K),2h 58m,History
7. Small Things Like These,6.8, (21K),1h 38m,History
8. William Tell,5.7, (2.2K),2h 13m,History
9. The Return,6.2, (7.9K),1h 56m,History
10. The Six Triple Eight,6.7, (26K),2h 7m,History
11. The Girl with the Needle,7.5, (13K),2h 3m,History
12. Blitz,6.2, (16K),2h,History
13. Reagan,6.2, (11K),2h 21m,History
14. Vermiglio,6.9, (3.9K),1h 59m,History
15. Joy,7.1, (9.2K),1h 55m,History
16. The Devil's Bath,6.6, (6.1K),2h 1m,History
17. Bonhoeffer: Pastor. Spy. Assassin.,6.3, (3.5K),2h 13m,History
18. Being Maria,6.1, (569),1h 40m,History
19. Unfrosted,5.5, (35K),1h 37m,History
20. Goebbels and the Führer,6.7, (2.1K),2h 15m,History
21. The Children's Train,7.4, (6.9K),1h 46m,History
22. Grand Tour,6.6, (1.5K),2h 8m,History
"23. From Hilde, with Love",7.0, (868),2h 5m,History
24. Uprising,6.6, (5.4K),2h 6m,History
25. Escape from Germany,5.3, (940),1h 37m,History
26. Waves,8.1, (1.6K),2h 11m,History
27. Bushido,6.9, (357),2h 9m,History
28. Janis Ian: Breaking Silence,8.3, (49),1h 54m,History
29. Operation Undead,4.6, (394),1h 50m,History
30. The New Year That Never Came,8.2, (4.9K),2h 18m,History
31. Maharaj,6.5, (15K),2h 11m,History
32. Seize Them!,5.1, (1.2K),1h 31m,History
33. 11 Rebels,6.2, (350),2h 35m,History
34. Harvest,6.0, (341),2h 11m,History
35. Harbin,6.4, (552),1h 48m,History
36. Jesus Crown of Thorns,5.8, (58),N/A,History
37. Before Dawn,5.4, (960),1h 41m,History
38. Now or Never!,2.2, (17K),N/A,History
39. Shirley,6.2, (3.3K),1h 57m,History
40. Maidaan,7.9, (23K),3h 1m,History
41. The Flood,6.4, (239),1h 41m,History
42. Limonov: The Ballad of Eddie,6.0, (766),2h 18m,History
43. Bibi Rajni,8.6, (712),2h 23m,History
44. Golden Kamuy,6.3, (2.5K),2h 7m,History
45. No Chains No Masters,6.4, (495),1h 38m,History
46. The Damned,5.4, (828),1h 29m,History
47. Witch,5.0, (1.4K),1h 47m,History
48. Chhava,8.4, (2.2K),51m,History
49. Quisling: The Final Days,7.1, (1.1K),2h 26m,History
50. Louise Violet,6.6, (165),1h 48m,History
51. Witches,7.4, (1.1K),1h 30m,History
52. In Her Place,6.2, (1.5K),1h 36m,History
53. Thangalaan,6.6, (6.6K),2h 36m,History
54. Chandu Champion,7.8, (34K),2h 22m,History
55. Atatürk II: 1881-1919,8.9, (2K),2h 21m,History
56. The Last Front,5.5, (606),1h 38m,History
"57. Love, Courage and the Battle of Bushy Run",4.9, (178),1h 53m,History
58. The Ballad of Davy Crockett,4.6, (246),1h 36m,History
59. Kingdom 4: Return of the Great General,7.1, (1.3K),2h 25m,History
60. Razakar: The Silent Genocide of Hyderabad,7.4, (5.3K),2h 46m,History
61. Einstein and the Bomb,6.2, (4K),1h 16m,History
62. The Commandant's Shadow,7.3, (1K),1h 43m,History
63. The Volunteers: The Battle of Life and Death,6.2, (221),2h 24m,History
64. Intoxicated by Love,8.5, (13K),1h 58m,History
65. Apollo 13: Survival,7.3, (2.4K),1h 38m,History
66. Shivrayancha Chhava,7.1, (411),1h 20m,History
67. Gloria!,6.6, (974),1h 46m,History
68. Ka Whawhai Tonu,7.4, (176),1h 55m,History
69. Six Days in August,6.3, (122),2h,History
70. Color of Victory,6.1, (40K),2h 37m,History
71. Unsinkable,5.7, (138),1h 40m,History
72. The Great Ambition,7.2, (684),2h 3m,History
73. Something to Stand for with Mike Rowe,8.7, (286),1h 36m,History
74. Battlefield,6.2, (653),1h 44m,History
75. The Kingdom,7.9, (88),2h 13m,History
76. Never Alone,7.2, (419),1h 25m,History
77. Apocalypse in the Tropics,7.5, (89),1h 50m,History
78. Lisabi: The Uprising,6.1, (123),1h 47m,History
79. Meeting with Pol Pot,6.5, (364),1h 52m,History
80. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2, (654),2h 54m,History
81. Lula,5.6, (184),1h 30m,History
82. Ahl Al Kahf,5.3, (258),2h,History
83. Sucha Soorma,6.4, (915),2h 16m,History
84. Sinhabahu,6.5, (85),1h 52m,History
85. Ae Watan Mere Watan,4.7, (1.4K),2h 13m,History
86. Kupu-Kupu Kertas,6.9, (141),1h 53m,History
87. Conquer: Lahad Datu,6.7, (503),2h,History
88. ABBA: Against the Odds,7.4, (406),1h 30m,History
89. Housewife of the Year,7.7, (48),1h 21m,History
90. The Shadow,6.5, (251),1h 30m,History
91. Die Ermittlung: Oratorium in 11 Gesängen,7.6, (159),4h 1m,History
92. Bir Cumhuriyet Sarkisi,7.7, (377),2h 8m,History
93. The Peanut Man,5.4, (71),N/A,History
94. House of Ga'a,3.9, (488),1h 59m,History
95. Simona Kossak,6.1, (310),1h 40m,History
96. Vindication Swim,6.0, (203),1h 38m,History
97. Bahodir Yalangto'sh,9.3, (67),N/A,History
98. Mustafa,6.9, (72),1h 15m,History
99. From Darkness to Light,7.4, (166),1h 48m,History
100. Sadik Ahmet,7.7, (413),2h 5m,History
101. Mysteries of the Terracotta Warriors,6.7, (1.6K),1h 17m,History
102. Greenwood Rising: The Rise of Black Wall Street,7.2, (92),N/A,History
103. Red Poppies,4.7, (297),2h 2m,History
104. Silver Star,6.9, (15),1h 42m,History
105. Memoir Seorang Guru,7.1, (121),2h,History
106. Panjab Files,8.0, (18),1h 57m,History
107. Patrice: The Movie,8.3, (224),1h 42m,History
108. A Country Called Ghana,9.2, (11),N/A,History
109. Gangs of Godavari,5.0, (903),2h 45m,History
110. Landesverräter,5.9, (97),1h 52m,History
111. Wieland,5.7, (17),N/A,History
112. Komandir,6.3, (516),2h 11m,History
113. Death Game,6.3, (24),1h 28m,History
